accessCode,createdAt,description,durationWeeks,endDate,id,modules,name,published,schoolId,startDate,students,subjectArea,teachers,updatedAt
GU8GMU,2025-03-20T18:55:29.191174,This course covers the fundamentals of Laboratory Techniques. Students will learn key concepts and practical applications.,18,2024-01-13T00:00:00,CRS540603,"[""MOD303646"", ""MOD840912"", ""MOD098442"", ""MOD291310"", ""MOD598850""]",Laboratory Techniques,True,SCH808579,2023-09-09T00:00:00,"[""780224437"", ""184456320"", ""730248852"", ""443498111"", ""976656937"", ""662564696"", ""328517048"", ""178177605"", ""238720840"", ""175498011"", ""597445359"", ""181169290"", ""537356390"", ""485798038"", ""423527901"", ""330676002"", ""666375344"", ""361499675"", ""291948344"", ""525723913"", ""281918693"", ""254250095"", ""799534154"", ""757332691"", ""791498494"", ""563268910"", ""626775589"", ""653697760""]",Physical Education,"[""477272602"", ""149394266""]",2025-03-20T18:55:29.205504
LV88ER,2025-03-20T18:55:29.191174,This course covers the fundamentals of Digital Design. Students will learn key concepts and practical applications.,12,2023-11-26T00:00:00,CRS759399,"[""MOD932082"", ""MOD636820"", ""MOD054181"", ""MOD094001"", ""MOD407333"", ""MOD235732"", ""MOD687482"", ""MOD400310"", ""MOD688089"", ""MOD004486"", ""MOD861175""]",Digital Design,True,SCH808579,2023-09-03T00:00:00,"[""401720516"", ""402513778"", ""173943771"", ""881027764"", ""567416659"", ""513664231"", ""733043466"", ""417049247"", ""927359580"", ""605378183"", ""626775589"", ""150246057"", ""663611239"", ""659065005"", ""146504122"", ""674107706"", ""812832353"", ""736467937"", ""382726298"", ""509315512"", ""842094799"", ""917500111""]",Social Studies,"[""315382956""]",2025-03-20T18:55:29.206484
D2PV6U,2025-03-20T18:55:29.191174,This course covers the fundamentals of Discrete Mathematics. Students will learn key concepts and practical applications.,17,2024-01-02T00:00:00,CRS912609,"[""MOD847328"", ""MOD800957"", ""MOD954817"", ""MOD603625"", ""MOD009584"", ""MOD213023"", ""MOD183133"", ""MOD079360"", ""MOD451972"", ""MOD845816"", ""MOD644030"", ""MOD438659"", ""MOD144362"", ""MOD480640"", ""MOD565925""]",Discrete Mathematics,True,SCH808579,2023-09-05T00:00:00,"[""557357727"", ""481451570"", ""730248852"", ""530168882"", ""614193938"", ""483598206"", ""535882754"", ""431975366"", ""910067265"", ""203349989"", ""952001360"", ""721846690"", ""855750550"", ""685167467"", ""173295390"", ""659909300"", ""109557623"", ""370177398"", ""894278132"", ""534562038"", ""610348753"", ""761247773"", ""643463559"", ""476463867"", ""472414641"", ""597445359"", ""816532213"", ""405071052""]",Mathematics,"[""992757101""]",2025-03-20T18:55:29.206484
U4UQNN,2025-03-20T18:55:29.191174,This course covers the fundamentals of Poetry and Expression. Students will learn key concepts and practical applications.,13,2023-12-04T00:00:00,CRS387471,"[""MOD333317"", ""MOD564422"", ""MOD687984"", ""MOD363256"", ""MOD840444"", ""MOD387396"", ""MOD860520"", ""MOD338358"", ""MOD382153"", ""MOD016406"", ""MOD432218"", ""MOD809870""]",Poetry and Expression,True,SCH791346,2023-09-04T00:00:00,"[""935116875"", ""394046624"", ""422275159"", ""257451053"", ""305127146"", ""132972339"", ""521954922"", ""932008206"", ""688376567"", ""261674456"", ""115602644"", ""838020388"", ""944830702"", ""591388778"", ""724818503"", ""626787751"", ""889260230"", ""863119916"", ""468854312"", ""895307441"", ""913979872"", ""524438278"", ""189114628"", ""591930924"", ""163917221"", ""351292765"", ""110783754""]",Physical Education,"[""920673629""]",2025-03-20T18:55:29.206484
JDGTCM,2025-03-20T18:55:29.191174,This course covers the fundamentals of Historical Research Methods. Students will learn key concepts and practical applications.,11,2024-04-26T00:00:00,CRS879345,"[""MOD438372"", ""MOD158059"", ""MOD051461"", ""MOD556982"", ""MOD759763"", ""MOD714884"", ""MOD630349"", ""MOD664165"", ""MOD435482"", ""MOD730735""]",Historical Research Methods,True,SCH791346,2024-02-09T00:00:00,"[""240948230"", ""503149391"", ""479703828"", ""871535708"", ""796567593"", ""195779883"", ""972598409"", ""451101096"", ""622427911"", ""914515405"", ""803217456"", ""204567446"", ""751922592"", ""359940036"", ""932008206"", ""944518819"", ""430305507"", ""590480511"", ""423657180"", ""421604756"", ""730963285"", ""696522020"", ""503750583"", ""990947816"", ""855238325"", ""203272235"", ""669863409"", ""939099845""]",Social Studies,"[""754835085""]",2025-03-20T18:55:29.206989
I7PABS,2025-03-20T18:55:29.191174,This course covers the fundamentals of Chemistry in Context. Students will learn key concepts and practical applications.,16,2023-12-25T00:00:00,CRS076701,"[""MOD681907"", ""MOD395368"", ""MOD141870"", ""MOD250932"", ""MOD861207""]",Chemistry in Context,True,SCH791346,2023-09-04T00:00:00,"[""644997383"", ""203272235"", ""443763004"", ""465004962"", ""437646203"", ""157805637"", ""403317683"", ""811008679"", ""751169941"", ""955795277"", ""874010423"", ""682874171"", ""566507716"", ""112630943"", ""182266670"", ""312312540"", ""944176450"", ""239708008"", ""253759747"", ""650282352"", ""412380855"", ""763123223"", ""323837487"", ""240948230""]",Science,"[""667450962""]",2025-03-20T18:55:29.206989
SS8YYR,2025-03-20T18:55:29.191174,This course covers the fundamentals of Laboratory Techniques. Students will learn key concepts and practical applications.,20,2024-06-28T00:00:00,CRS158832,"[""MOD034202"", ""MOD097471"", ""MOD964511"", ""MOD377363"", ""MOD670743"", ""MOD754321""]",Laboratory Techniques,True,SCH791346,2024-02-09T00:00:00,"[""364151652"", ""922071763"", ""426325797"", ""845539953"", ""805555463"", ""210658235"", ""334360438"", ""874281551"", ""782774641"", ""718193171"", ""807913621"", ""904040535"", ""489696035"", ""999880393"", ""845591858"", ""442262707"", ""278979802""]",Music,"[""667450962""]",2025-03-20T18:55:29.206989
7K0Q2D,2025-03-20T18:55:29.191174,This course covers the fundamentals of Earth and Space Science. Students will learn key concepts and practical applications.,16,2024-01-05T00:00:00,CRS156649,"[""MOD369711"", ""MOD744991"", ""MOD132128"", ""MOD204282"", ""MOD711161"", ""MOD013668"", ""MOD839778"", ""MOD935933"", ""MOD911930"", ""MOD875033"", ""MOD118563"", ""MOD450007"", ""MOD694809"", ""MOD287899""]",Earth and Space Science,False,SCH791346,2023-09-15T00:00:00,"[""275926525"", ""933871411"", ""900681357"", ""239708008"", ""969428302"", ""827377610"", ""978577289"", ""569182323"", ""582296761"", ""192534396"", ""955795277"", ""380584800"", ""733693771"", ""863119916"", ""610760887"", ""364183190"", ""459410554"", ""677769036"", ""728722002"", ""626787751"", ""421217608"", ""772631669"", ""422275159"", ""747333655"", ""622613126"", ""996467068"", ""826815329""]",Science,"[""920673629""]",2025-03-20T18:55:29.206989
5ZCODP,2025-03-20T18:55:29.191174,This course covers the fundamentals of Visual Arts. Students will learn key concepts and practical applications.,16,2023-12-25T00:00:00,CRS083954,"[""MOD245154"", ""MOD767393"", ""MOD662871"", ""MOD641623"", ""MOD319518"", ""MOD142311"", ""MOD952553"", ""MOD424797"", ""MOD306393"", ""MOD347307"", ""MOD435345"", ""MOD569644"", ""MOD062662"", ""MOD367363""]",Visual Arts,True,SCH874413,2023-09-04T00:00:00,"[""975079323"", ""837479892"", ""868886658"", ""197859728"", ""211811939"", ""623104216"", ""152916848"", ""351311625"", ""552204076"", ""396656812"", ""340642772"", ""944702800"", ""213462976"", ""572727872"", ""486503316"", ""723379178""]",Art,"[""874364760""]",2025-03-20T18:55:29.206989
RYJQSO,2025-03-20T18:55:29.191174,This course covers the fundamentals of Conservation Biology. Students will learn key concepts and practical applications.,15,2023-12-16T00:00:00,CRS580424,"[""MOD064973"", ""MOD766912"", ""MOD690974"", ""MOD659731"", ""MOD306249"", ""MOD386356"", ""MOD576344"", ""MOD044202"", ""MOD647074"", ""MOD163070"", ""MOD828479"", ""MOD614030"", ""MOD435598""]",Conservation Biology,True,SCH874413,2023-09-02T00:00:00,"[""346240639"", ""645780407"", ""658692014"", ""539383678"", ""496788773"", ""925756541"", ""381469653"", ""488062867"", ""697929320"", ""482754111"", ""833171180"", ""554064614"", ""132152333"", ""988939891"", ""591930052"", ""338352953"", ""909834908"", ""776693215"", ""327535310"", ""373035388"", ""566902311"", ""845761951"", ""622733976"", ""349577543"", ""836036165"", ""447405427"", ""440596752"", ""896063550""]",Physical Education,"[""882431047""]",2025-03-20T18:55:29.206989
O2GKYK,2025-03-20T18:55:29.191174,This course covers the fundamentals of Individual Fitness. Students will learn key concepts and practical applications.,20,2024-06-25T00:00:00,CRS509735,"[""MOD756562"", ""MOD640304"", ""MOD359916"", ""MOD583725"", ""MOD081260"", ""MOD013407"", ""MOD743551"", ""MOD440376"", ""MOD126258"", ""MOD747455"", ""MOD221340"", ""MOD282370"", ""MOD662083"", ""MOD626714"", ""MOD625781"", ""MOD734537""]",Individual Fitness,True,SCH874413,2024-02-06T00:00:00,"[""380786170"", ""797968568"", ""272427456"", ""760162070"", ""690862731"", ""298322933"", ""573137122"", ""743029387"", ""536667773"", ""101519407"", ""485060991"", ""111200726"", ""506468708"", ""312810261"", ""627883468""]",Literature,"[""966931381""]",2025-03-20T18:55:29.206989
0QFFFN,2025-03-20T18:55:29.191174,This course covers the fundamentals of Sociology. Students will learn key concepts and practical applications.,19,2024-01-19T00:00:00,CRS506159,"[""MOD248618"", ""MOD330539"", ""MOD553017"", ""MOD948198"", ""MOD536315"", ""MOD158329"", ""MOD396327""]",Sociology,True,SCH874413,2023-09-07T00:00:00,"[""858175445"", ""837835011"", ""179207090"", ""647263444"", ""627883468"", ""929087202"", ""623104216"", ""552204076"", ""493270157"", ""576278812"", ""693724209"", ""465019315"", ""505694572"", ""865310804"", ""787246669"", ""559148690"", ""835294628"", ""777525966"", ""642773969"", ""937707124""]",Mathematics,"[""417656486""]",2025-03-20T18:55:29.207989
WUKBJL,2025-03-20T18:55:29.191174,This course covers the fundamentals of Health and Wellness. Students will learn key concepts and practical applications.,13,2024-05-13T00:00:00,CRS648091,"[""MOD312345"", ""MOD047617"", ""MOD729451"", ""MOD566694"", ""MOD622515"", ""MOD353876"", ""MOD399632"", ""MOD616038"", ""MOD468806"", ""MOD652514"", ""MOD536818""]",Health and Wellness,True,SCH874413,2024-02-12T00:00:00,"[""943740278"", ""168589902"", ""572727872"", ""979483383"", ""347839766"", ""291437426"", ""250184162"", ""202601661"", ""964720063"", ""960280578"", ""935872685"", ""929087202"", ""617473738"", ""849481563""]",Literature,"[""887287901"", ""133305133""]",2025-03-20T18:55:29.207989
ZFDU8C,2025-03-20T18:55:29.191174,This course covers the fundamentals of Ancient Civilizations. Students will learn key concepts and practical applications.,19,2024-01-18T00:00:00,CRS732088,"[""MOD765849"", ""MOD294470"", ""MOD828835"", ""MOD951634"", ""MOD990856"", ""MOD700621"", ""MOD205213"", ""MOD446551"", ""MOD873497"", ""MOD780340"", ""MOD341326"", ""MOD107090"", ""MOD501120"", ""MOD407750"", ""MOD640490"", ""MOD241104"", ""MOD418922""]",Ancient Civilizations,True,SCH815837,2023-09-07T00:00:00,"[""480221520"", ""706460095"", ""920486894"", ""214668733"", ""670791580"", ""671862304"", ""235504401"", ""649135605"", ""754414127"", ""350794701"", ""335820386"", ""196740318"", ""271276089"", ""622081307"", ""524612587"", ""357152588"", ""588598239"", ""517034022"", ""948589856"", ""249000380"", ""326671751"", ""338628657"", ""803742817""]",History,"[""468837249""]",2025-03-20T18:55:29.207989
OIPME0,2025-03-20T18:55:29.191174,This course covers the fundamentals of Biology of Living Systems. Students will learn key concepts and practical applications.,20,2024-06-29T00:00:00,CRS023301,"[""MOD042035"", ""MOD186613"", ""MOD455114"", ""MOD892939"", ""MOD450266"", ""MOD211212"", ""MOD543614"", ""MOD739282"", ""MOD961605"", ""MOD866075"", ""MOD175594"", ""MOD369457"", ""MOD728870"", ""MOD826375"", ""MOD149814"", ""MOD207734"", ""MOD983449""]",Biology of Living Systems,True,SCH815837,2024-02-10T00:00:00,"[""464525416"", ""879588801"", ""519128973"", ""469435900"", ""928786726"", ""292389513"", ""871142105"", ""860526626"", ""306378926"", ""904906238"", ""860584721"", ""235504401"", ""969473117"", ""477446145"", ""910835450"", ""278409975""]",Literature,"[""245715652""]",2025-03-20T18:55:29.207989
Q645M2,2025-03-20T18:55:29.193174,This course covers the fundamentals of Cultural Studies. Students will learn key concepts and practical applications.,10,2023-11-21T00:00:00,CRS632665,"[""MOD393614"", ""MOD529960"", ""MOD132899"", ""MOD772704"", ""MOD720066"", ""MOD357231"", ""MOD951484"", ""MOD553877"", ""MOD405550""]",Cultural Studies,True,SCH815837,2023-09-12T00:00:00,"[""414233393"", ""961941445"", ""314360668"", ""335820386"", ""788870757"", ""115908854"", ""810845687"", ""707039353"", ""708177530"", ""837928006"", ""968643111"", ""513258872""]",Art,"[""683294854""]",2025-03-20T18:55:29.207989
P7KK3D,2025-03-20T18:55:29.193174,This course covers the fundamentals of Algebra and Functions. Students will learn key concepts and practical applications.,16,2024-01-05T00:00:00,CRS512766,"[""MOD998543"", ""MOD874547"", ""MOD966274"", ""MOD386242"", ""MOD140709"", ""MOD437076"", ""MOD584442"", ""MOD991152"", ""MOD906640"", ""MOD601651"", ""MOD016410"", ""MOD637265"", ""MOD350143"", ""MOD568013""]",Algebra and Functions,True,SCH815837,2023-09-15T00:00:00,"[""655633169"", ""652509321"", ""781491919"", ""482282221"", ""678504952"", ""691093288"", ""716777144"", ""277443100"", ""388601533"", ""948589856"", ""538592434"", ""581042252"", ""680760834""]",Music,"[""138010870""]",2025-03-20T18:55:29.207989
4B80AP,2025-03-20T18:55:29.193174,This course covers the fundamentals of Health and Wellness. Students will learn key concepts and practical applications.,15,2024-05-22T00:00:00,CRS169990,"[""MOD046215"", ""MOD568762"", ""MOD316701"", ""MOD301130"", ""MOD627987"", ""MOD704539"", ""MOD251067"", ""MOD883264"", ""MOD186732"", ""MOD307697"", ""MOD720874"", ""MOD424630"", ""MOD748282""]",Health and Wellness,True,SCH815837,2024-02-07T00:00:00,"[""923343027"", ""594794673"", ""420595409"", ""393684512"", ""902590972"", ""308587517"", ""374461646"", ""908295493"", ""395584398"", ""231524918"", ""571008478"", ""967667209"", ""407953685"", ""912932096"", ""477446145"", ""736787938"", ""173144173"", ""537772486"", ""127809474"", ""553104245"", ""874154169"", ""897286308""]",Computer Science,"[""717834872"", ""606980384""]",2025-03-20T18:55:29.207989
5KB0XH,2025-03-20T18:55:29.193174,This course covers the fundamentals of Anthropology. Students will learn key concepts and practical applications.,14,2023-12-22T00:00:00,CRS655493,"[""MOD841790"", ""MOD160018"", ""MOD538193"", ""MOD141047"", ""MOD421297"", ""MOD860947"", ""MOD499799"", ""MOD806987"", ""MOD185608"", ""MOD839885"", ""MOD778257"", ""MOD533192"", ""MOD118909""]",Anthropology,True,SCH050657,2023-09-15T00:00:00,"[""391228963"", ""823138709"", ""533831477"", ""514867610"", ""554657111"", ""254288168"", ""253116396"", ""155776434"", ""939367207"", ""906330418"", ""390117679"", ""205259727"", ""674004845"", ""921043516"", ""980801561"", ""935488876"", ""443032801"", ""468547377"", ""976483557"", ""351537780"", ""130749096"", ""559025553""]",Foreign Language,"[""109798304""]",2025-03-20T18:55:29.208993
POCR4A,2025-03-20T18:55:29.193174,This course covers the fundamentals of Photography. Students will learn key concepts and practical applications.,10,2023-11-14T00:00:00,CRS427163,"[""MOD954605"", ""MOD080466"", ""MOD252180"", ""MOD944573"", ""MOD575883"", ""MOD415310"", ""MOD391012"", ""MOD128984""]",Photography,True,SCH050657,2023-09-05T00:00:00,"[""911237149"", ""867563777"", ""412230330"", ""139560025"", ""419882386"", ""992354759"", ""848808518"", ""833292294"", ""163514619"", ""691902800"", ""163894188"", ""453627946"", ""383217874"", ""623155038"", ""285461369"", ""272925329"", ""249147408"", ""400705924"", ""133218886"", ""981483858"", ""208724609"", ""254288168"", ""330063870"", ""823017080"", ""295475500"", ""302569258""]",Art,"[""109798304""]",2025-03-20T18:55:29.208993
PGB2JV,2025-03-20T18:55:29.193174,This course covers the fundamentals of Sociology. Students will learn key concepts and practical applications.,17,2024-06-08T00:00:00,CRS980690,"[""MOD403144"", ""MOD339551"", ""MOD748129"", ""MOD017756"", ""MOD883546"", ""MOD569357"", ""MOD947422"", ""MOD047640""]",Sociology,False,SCH050657,2024-02-10T00:00:00,"[""523449949"", ""407463984"", ""478282046"", ""533831477"", ""474252873"", ""327427196"", ""901874038"", ""173110770"", ""735309902"", ""477080767"", ""844956469"", ""133218886"", ""547086812"", ""514867610"", ""780621670"", ""697369111"", ""982476978"", ""307462296"", ""392348293"", ""554657111"", ""906690464"", ""244596340"", ""387087388"", ""238543427"", ""545175527"", ""736854572"", ""875804551"", ""870382129"", ""923011646"", ""832626894""]",Foreign Language,"[""830407758""]",2025-03-20T18:55:29.208993
6UYBQ1,2025-03-20T18:55:29.193174,This course covers the fundamentals of Horticulture. Students will learn key concepts and practical applications.,10,2023-11-16T00:00:00,CRS829271,"[""MOD295075"", ""MOD514693"", ""MOD171121"", ""MOD876730"", ""MOD023308"", ""MOD728660"", ""MOD599391"", ""MOD927954"", ""MOD732178""]",Horticulture,True,SCH050657,2023-09-07T00:00:00,"[""333722961"", ""620020618"", ""576934058"", ""623155038"", ""758968352"", ""932102417"", ""690009141"", ""237502073"", ""647018404"", ""481658943"", ""794242163"", ""564345861"", ""244596340"", ""498048688"", ""171546198"", ""985222562"", ""306556684"", ""521472777"", ""580620173"", ""962082679"", ""192557934"", ""795550432"", ""406325512"", ""594118379"", ""738778428"", ""514314500"", ""575803010"", ""829195350""]",Science,"[""680590290""]",2025-03-20T18:55:29.208993
NLFTFA,2025-03-20T18:55:29.193174,This course covers the fundamentals of Introduction to Programming. Students will learn key concepts and practical applications.,11,2023-12-01T00:00:00,CRS674486,"[""MOD506422"", ""MOD705116"", ""MOD297000"", ""MOD701945"", ""MOD304850"", ""MOD981770"", ""MOD183191"", ""MOD552162"", ""MOD347988""]",Introduction to Programming,False,SCH050657,2023-09-15T00:00:00,"[""244596340"", ""242122164"", ""571387769"", ""306932088"", ""316070110"", ""800705444"", ""823017080"", ""377610846"", ""681126666"", ""282162839"", ""566140131"", ""242247298"", ""965734942"", ""886520171"", ""781906938"", ""685518077""]",History,"[""241407543""]",2025-03-20T18:55:29.208993
HQR8F6,2025-03-20T18:55:29.193174,This course covers the fundamentals of Agricultural Economics. Students will learn key concepts and practical applications.,18,2024-01-19T00:00:00,CRS412820,"[""MOD591933"", ""MOD662545"", ""MOD723695"", ""MOD976783"", ""MOD510389"", ""MOD747851"", ""MOD827015"", ""MOD678208"", ""MOD017744"", ""MOD861713"", ""MOD252199"", ""MOD588633"", ""MOD620277"", ""MOD603513"", ""MOD077618"", ""MOD951843""]",Agricultural Economics,True,SCH050657,2023-09-13T00:00:00,"[""633663158"", ""114259427"", ""173037417"", ""883000223"", ""567344990"", ""436565949"", ""480506031"", ""168395943"", ""566764747"", ""967125167"", ""433730812"", ""491655627"", ""238543427"", ""117568309"", ""423612157"", ""473606276"", ""126426583"", ""125400731"", ""933617900"", ""586057954""]",Literature,"[""830407758""]",2025-03-20T18:55:29.208993
579URR,2025-03-20T18:55:29.193174,This course covers the fundamentals of Psychology. Students will learn key concepts and practical applications.,12,2023-12-02T00:00:00,CRS792818,"[""MOD653090"", ""MOD988022"", ""MOD190546"", ""MOD934300"", ""MOD844240"", ""MOD652395"", ""MOD745073"", ""MOD611308"", ""MOD408199"", ""MOD664045"", ""MOD037760""]",Psychology,True,SCH050657,2023-09-09T00:00:00,"[""633803512"", ""333722961"", ""586341686"", ""971182136"", ""633473296"", ""998634956"", ""353485777"", ""325142709"", ""506599053"", ""282781953"", ""501049122"", ""477137336"", ""795550432"", ""302365132"", ""555041913"", ""161397422"", ""205417327"", ""222186243""]",Social Studies,"[""241407543""]",2025-03-20T18:55:29.209994
