assignments,courseId,createdAt,description,durationDays,endDate,id,name,required,sequenceNumber,startDate,subject,updatedAt
"[""ASG734363"", ""ASG376082""]",CRS563301,2025-03-31T18:05:19.776535,Practice core techniques through guided exercises and activities. Module content relates to Algebra Fundamentals.,8,2023-10-10T00:00:00,MOD003797,Practice 3: Algebra Fundamentals,True,3,2023-10-02T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG694915""]",CRS563301,2025-03-31T18:05:19.776535,Explore advanced concepts through guided research activities. Module content relates to Research Applications.,7,2023-10-18T00:00:00,MOD965656,Algebra 4: Research Applications,True,4,2023-10-11T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG261696""]",CRS563301,2025-03-31T18:05:19.776535,This module focuses on research methodologies and applications. Module content relates to Algebra Research.,8,2023-10-27T00:00:00,MOD910262,Module 5: Algebra Research,True,5,2023-10-19T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG694783""]",CRS563301,2025-03-31T18:05:19.776535,Explore the fundamental theories that underpin this subject area. Module content relates to Theory Applications.,7,2023-11-04T00:00:00,MOD363377,Algebra 6: Theory Applications,True,6,2023-10-28T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG052488""]",CRS563301,2025-03-31T18:05:19.776535,Engage in critical discussions about important topics in the field. Module content relates to Algebra Fundamentals.,7,2023-11-12T00:00:00,MOD912950,Discussion 7: Algebra Fundamentals,True,7,2023-11-05T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG223166""]",CRS563301,2025-03-31T18:05:19.776535,Apply theoretical knowledge through practical exercises and problems. Module content relates to Practice Applications.,8,2023-11-21T00:00:00,MOD266948,Algebra 8: Practice Applications,True,8,2023-11-13T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG201752""]",CRS563301,2025-03-31T18:05:19.776535,Explore advanced concepts through guided research activities. Module content relates to Algebra Fundamentals.,8,2023-11-30T00:00:00,MOD698483,Research 9: Algebra Fundamentals,True,9,2023-11-22T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG089386"", ""ASG284450""]",CRS563301,2025-03-31T18:05:19.776535,This module covers the theoretical foundations of the subject. Module content relates to Theory Applications.,7,2023-12-08T00:00:00,MOD739347,Algebra 10: Theory Applications,True,10,2023-12-01T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG025436""]",CRS563301,2025-03-31T18:05:19.776535,Conduct research on topics related to the course material. Module content relates to Algebra Fundamentals.,7,2023-12-16T00:00:00,MOD297528,Research 11: Algebra Fundamentals,True,11,2023-12-09T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG421061""]",CRS563301,2025-03-31T18:05:19.776535,Students will learn the core concepts and principles. Module content relates to Algebra Theory.,8,2023-12-25T00:00:00,MOD149192,Module 12: Algebra Theory,True,12,2023-12-17T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG531672""]",CRS563301,2025-03-31T18:05:19.776535,This module focuses on research methodologies and applications. Module content relates to Research Applications.,7,2024-01-02T00:00:00,MOD721703,Algebra 13: Research Applications,False,13,2023-12-26T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG394975""]",CRS563301,2025-03-31T18:05:19.776535,This module focuses on research methodologies and applications. Module content relates to Algebra Research - Part 14.,7,2024-01-10T00:00:00,MOD236041,Algebra Research - Part 14,False,14,2024-01-03T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG555981""]",CRS563301,2025-03-31T18:05:19.776535,This hands-on module focuses on developing practical skills. Module content relates to Practice in Algebra.,7,2024-01-18T00:00:00,MOD542977,Unit 15: Practice in Algebra,False,15,2024-01-11T00:00:00,Art,2025-03-31T18:05:19.781870
"[""ASG051045""]",CRS279712,2025-03-31T18:05:19.776535,This module focuses on research methodologies and applications. Module content relates to Entrepreneurship Fundamentals.,8,2023-09-16T00:00:00,MOD126424,Research 1: Entrepreneurship Fundamentals,False,1,2023-09-08T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG198519"", ""ASG573285""]",CRS279712,2025-03-31T18:05:19.776535,This module covers the theoretical foundations of the subject. Module content relates to Entrepreneurship Theory.,7,2023-09-24T00:00:00,MOD750426,Module 2: Entrepreneurship Theory,True,2,2023-09-17T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG417910"", ""ASG486194""]",CRS279712,2025-03-31T18:05:19.776535,Explore advanced concepts through guided research activities. Module content relates to Entrepreneurship Fundamentals.,7,2023-10-02T00:00:00,MOD112810,Research 3: Entrepreneurship Fundamentals,False,3,2023-09-25T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG712060""]",CRS279712,2025-03-31T18:05:19.777372,Work on a comprehensive project to solidify understanding. Module content relates to Entrepreneurship Project.,7,2023-10-10T00:00:00,MOD654310,Module 4: Entrepreneurship Project,True,4,2023-10-03T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG435387"", ""ASG335894""]",CRS279712,2025-03-31T18:05:19.777372,This project-based module allows application of learned skills. Module content relates to Entrepreneurship Project - Part 5.,9,2023-10-20T00:00:00,MOD265972,Entrepreneurship Project - Part 5,True,5,2023-10-11T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG173148""]",CRS279712,2025-03-31T18:05:19.777372,Explore advanced concepts through guided research activities. Module content relates to Research Applications.,7,2023-10-28T00:00:00,MOD465621,Entrepreneurship 6: Research Applications,True,6,2023-10-21T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG516724"", ""ASG107464""]",CRS279712,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Practice in Entrepreneurship.,7,2023-11-05T00:00:00,MOD467407,Unit 7: Practice in Entrepreneurship,False,7,2023-10-29T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG197962"", ""ASG819211""]",CRS279712,2025-03-31T18:05:19.777372,Conduct research on topics related to the course material. Module content relates to Entrepreneurship Fundamentals.,7,2023-11-13T00:00:00,MOD321927,Research 8: Entrepreneurship Fundamentals,True,8,2023-11-06T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG176183"", ""ASG776169""]",CRS279712,2025-03-31T18:05:19.777372,Work on a comprehensive project to solidify understanding. Module content relates to Entrepreneurship Fundamentals.,7,2023-11-21T00:00:00,MOD612347,Project 9: Entrepreneurship Fundamentals,True,9,2023-11-14T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG446598"", ""ASG360823""]",CRS279712,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Entrepreneurship Fundamentals.,8,2023-11-30T00:00:00,MOD477633,Practice 10: Entrepreneurship Fundamentals,True,10,2023-11-22T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG133227""]",CRS279712,2025-03-31T18:05:19.777372,Engage in critical discussions about important topics in the field. Module content relates to Entrepreneurship Discussion - Part 11.,7,2023-12-08T00:00:00,MOD308794,Entrepreneurship Discussion - Part 11,True,11,2023-12-01T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG192260""]",CRS279712,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Practice Applications.,6,2023-12-15T00:00:00,MOD053801,Entrepreneurship 12: Practice Applications,False,12,2023-12-09T00:00:00,Physical Education,2025-03-31T18:05:19.781870
"[""ASG017321"", ""ASG613539""]",CRS829699,2025-03-31T18:05:19.777372,Students will learn the core concepts and principles. Module content relates to Theory Applications.,8,2023-09-10T00:00:00,MOD295002,Statistics 1: Theory Applications,True,1,2023-09-02T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG589464"", ""ASG795408""]",CRS829699,2025-03-31T18:05:19.777372,Engage in critical discussions about important topics in the field. Module content relates to Statistics Discussion.,7,2023-09-18T00:00:00,MOD709569,Module 2: Statistics Discussion,True,2,2023-09-11T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG581951"", ""ASG594530""]",CRS829699,2025-03-31T18:05:19.777372,Work on a comprehensive project to solidify understanding. Module content relates to Statistics Fundamentals.,7,2023-09-26T00:00:00,MOD655637,Project 3: Statistics Fundamentals,False,3,2023-09-19T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG104780"", ""ASG755627""]",CRS829699,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Statistics Practice.,7,2023-10-04T00:00:00,MOD721961,Module 4: Statistics Practice,True,4,2023-09-27T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG531858""]",CRS829699,2025-03-31T18:05:19.777372,Explore advanced concepts through guided research activities. Module content relates to Statistics Fundamentals.,7,2023-10-12T00:00:00,MOD178469,Research 5: Statistics Fundamentals,False,5,2023-10-05T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG723283""]",CRS829699,2025-03-31T18:05:19.777372,This discussion-based module promotes critical thinking and analysis. Module content relates to Statistics Fundamentals.,7,2023-10-20T00:00:00,MOD955623,Discussion 6: Statistics Fundamentals,True,6,2023-10-13T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG483622""]",CRS829699,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Statistics Practice.,8,2023-10-29T00:00:00,MOD747835,Module 7: Statistics Practice,True,7,2023-10-21T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG335954"", ""ASG495583""]",CRS829699,2025-03-31T18:05:19.777372,Conduct research on topics related to the course material. Module content relates to Research Applications.,7,2023-11-06T00:00:00,MOD489333,Statistics 8: Research Applications,True,8,2023-10-30T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG707924""]",CRS829699,2025-03-31T18:05:19.777372,This module focuses on research methodologies and applications. Module content relates to Statistics Research - Part 9.,4,2023-11-11T00:00:00,MOD309761,Statistics Research - Part 9,True,9,2023-11-07T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG141068""]",CRS636333,2025-03-31T18:05:19.777372,Engage in critical discussions about important topics in the field. Module content relates to Discussion in Chemistry.,7,2024-02-17T00:00:00,MOD098676,Unit 1: Discussion in Chemistry,False,1,2024-02-10T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG540295"", ""ASG184944""]",CRS636333,2025-03-31T18:05:19.777372,Participate in structured discussions to deepen understanding. Module content relates to Discussion Applications.,7,2024-02-25T00:00:00,MOD943821,Chemistry 2: Discussion Applications,True,2,2024-02-18T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG018884"", ""ASG136846""]",CRS636333,2025-03-31T18:05:19.777372,This discussion-based module promotes critical thinking and analysis. Module content relates to Discussion Applications.,7,2024-03-04T00:00:00,MOD751822,Chemistry 3: Discussion Applications,True,3,2024-02-26T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG169773"", ""ASG685753""]",CRS636333,2025-03-31T18:05:19.777372,This module covers the theoretical foundations of the subject. Module content relates to Chemistry Theory.,7,2024-03-12T00:00:00,MOD160396,Module 4: Chemistry Theory,True,4,2024-03-05T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG753487""]",CRS636333,2025-03-31T18:05:19.777372,This hands-on module focuses on developing practical skills. Module content relates to Practice in Chemistry.,7,2024-03-20T00:00:00,MOD609232,Unit 5: Practice in Chemistry,True,5,2024-03-13T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG140691""]",CRS636333,2025-03-31T18:05:19.777372,Students will learn the core concepts and principles. Module content relates to Chemistry Theory - Part 6.,8,2024-03-29T00:00:00,MOD917943,Chemistry Theory - Part 6,True,6,2024-03-21T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG447641""]",CRS636333,2025-03-31T18:05:19.777372,Explore advanced concepts through guided research activities. Module content relates to Chemistry Research.,7,2024-04-06T00:00:00,MOD599946,Module 7: Chemistry Research,True,7,2024-03-30T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG267759""]",CRS636333,2025-03-31T18:05:19.777372,Explore the fundamental theories that underpin this subject area. Module content relates to Theory Applications.,9,2024-04-16T00:00:00,MOD347441,Chemistry 8: Theory Applications,True,8,2024-04-07T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG650358"", ""ASG843621""]",CRS636333,2025-03-31T18:05:19.777372,This project-based module allows application of learned skills. Module content relates to Project Applications.,7,2024-04-24T00:00:00,MOD085920,Chemistry 9: Project Applications,True,9,2024-04-17T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG743607"", ""ASG735255""]",CRS636333,2025-03-31T18:05:19.777372,Work on a comprehensive project to solidify understanding. Module content relates to Chemistry Fundamentals.,7,2024-05-02T00:00:00,MOD153959,Project 10: Chemistry Fundamentals,True,10,2024-04-25T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG006240"", ""ASG701127""]",CRS636333,2025-03-31T18:05:19.777372,This project-based module allows application of learned skills. Module content relates to Project in Chemistry.,7,2024-05-10T00:00:00,MOD857928,Unit 11: Project in Chemistry,True,11,2024-05-03T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG927135""]",CRS445791,2025-03-31T18:05:19.777372,This discussion-based module promotes critical thinking and analysis. Module content relates to Discussion Applications.,12,2024-02-22T00:00:00,MOD404044,Earth 1: Discussion Applications,True,1,2024-02-10T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG584820""]",CRS445791,2025-03-31T18:05:19.777372,Develop and complete a project that demonstrates mastery of key concepts. Module content relates to Earth Project - Part 2.,12,2024-03-06T00:00:00,MOD769660,Earth Project - Part 2,True,2,2024-02-23T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG200621"", ""ASG378601""]",CRS445791,2025-03-31T18:05:19.777372,Explore the fundamental theories that underpin this subject area. Module content relates to Earth Theory.,8,2024-03-15T00:00:00,MOD581755,Module 3: Earth Theory,False,3,2024-03-07T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG608764""]",CRS445791,2025-03-31T18:05:19.777372,Participate in structured discussions to deepen understanding. Module content relates to Discussion in Earth.,8,2024-03-24T00:00:00,MOD430054,Unit 4: Discussion in Earth,True,4,2024-03-16T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG217408""]",CRS445791,2025-03-31T18:05:19.777372,Students will learn the core concepts and principles. Module content relates to Earth Fundamentals.,11,2024-04-05T00:00:00,MOD976826,Theory 5: Earth Fundamentals,True,5,2024-03-25T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG467505"", ""ASG963622""]",CRS445791,2025-03-31T18:05:19.777372,This project-based module allows application of learned skills. Module content relates to Project Applications.,10,2024-04-16T00:00:00,MOD165150,Earth 6: Project Applications,False,6,2024-04-06T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG629816"", ""ASG599747""]",CRS445791,2025-03-31T18:05:19.777372,This hands-on module focuses on developing practical skills. Module content relates to Earth Fundamentals.,11,2024-04-28T00:00:00,MOD244469,Practice 7: Earth Fundamentals,True,7,2024-04-17T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG011987"", ""ASG639741""]",CRS445791,2025-03-31T18:05:19.777372,Explore the fundamental theories that underpin this subject area. Module content relates to Earth Fundamentals.,12,2024-05-11T00:00:00,MOD916450,Theory 8: Earth Fundamentals,True,8,2024-04-29T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG095398""]",CRS445791,2025-03-31T18:05:19.777372,Apply theoretical knowledge through practical exercises and problems. Module content relates to Practice in Earth.,10,2024-05-22T00:00:00,MOD816945,Unit 9: Practice in Earth,True,9,2024-05-12T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG414655""]",CRS445791,2025-03-31T18:05:19.777372,Participate in structured discussions to deepen understanding. Module content relates to Earth Discussion.,2,2024-05-25T00:00:00,MOD249957,Module 10: Earth Discussion,True,10,2024-05-23T00:00:00,Science,2025-03-31T18:05:19.781870
"[""ASG859211""]",CRS010114,2025-03-31T18:05:19.777372,This hands-on module focuses on developing practical skills. Module content relates to Language Practice.,7,2023-09-12T00:00:00,MOD378369,Module 1: Language Practice,True,1,2023-09-05T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG088883""]",CRS010114,2025-03-31T18:05:19.777372,This project-based module allows application of learned skills. Module content relates to Language Project.,7,2023-09-20T00:00:00,MOD033663,Module 2: Language Project,True,2,2023-09-13T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG230335""]",CRS010114,2025-03-31T18:05:19.777372,Apply theoretical knowledge through practical exercises and problems. Module content relates to Language Practice - Part 3.,7,2023-09-28T00:00:00,MOD850531,Language Practice - Part 3,False,3,2023-09-21T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG279352"", ""ASG905095""]",CRS010114,2025-03-31T18:05:19.777372,This hands-on module focuses on developing practical skills. Module content relates to Practice Applications.,7,2023-10-06T00:00:00,MOD621281,Language 4: Practice Applications,True,4,2023-09-29T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG733864""]",CRS010114,2025-03-31T18:05:19.777372,This discussion-based module promotes critical thinking and analysis. Module content relates to Language Discussion - Part 5.,7,2023-10-14T00:00:00,MOD824435,Language Discussion - Part 5,True,5,2023-10-07T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG198144"", ""ASG494514""]",CRS010114,2025-03-31T18:05:19.777372,Conduct research on topics related to the course material. Module content relates to Research Applications.,7,2023-10-22T00:00:00,MOD695683,Language 6: Research Applications,True,6,2023-10-15T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG830067""]",CRS010114,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Language Fundamentals.,7,2023-10-30T00:00:00,MOD837354,Practice 7: Language Fundamentals,False,7,2023-10-23T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG205628""]",CRS010114,2025-03-31T18:05:19.777372,Apply theoretical knowledge through practical exercises and problems. Module content relates to Language Practice.,7,2023-11-07T00:00:00,MOD484213,Module 8: Language Practice,True,8,2023-10-31T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG425998""]",CRS010114,2025-03-31T18:05:19.777372,Participate in structured discussions to deepen understanding. Module content relates to Discussion in Language.,6,2023-11-14T00:00:00,MOD402332,Unit 9: Discussion in Language,True,9,2023-11-08T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG612609""]",CRS237240,2025-03-31T18:05:19.777372,This hands-on module focuses on developing practical skills. Module content relates to Practice Applications.,7,2024-02-17T00:00:00,MOD290671,Biology 1: Practice Applications,True,1,2024-02-10T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG204126""]",CRS237240,2025-03-31T18:05:19.777372,Explore advanced concepts through guided research activities. Module content relates to Research Applications.,7,2024-02-25T00:00:00,MOD999403,Biology 2: Research Applications,True,2,2024-02-18T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG522619""]",CRS237240,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Biology Fundamentals.,7,2024-03-04T00:00:00,MOD598962,Practice 3: Biology Fundamentals,True,3,2024-02-26T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG130118""]",CRS237240,2025-03-31T18:05:19.777372,Engage in critical discussions about important topics in the field. Module content relates to Discussion Applications.,8,2024-03-13T00:00:00,MOD228416,Biology 4: Discussion Applications,True,4,2024-03-05T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG738783""]",CRS237240,2025-03-31T18:05:19.777372,Apply theoretical knowledge through practical exercises and problems. Module content relates to Practice Applications.,8,2024-03-22T00:00:00,MOD009529,Biology 5: Practice Applications,True,5,2024-03-14T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG755948"", ""ASG411974""]",CRS237240,2025-03-31T18:05:19.777372,Apply theoretical knowledge through practical exercises and problems. Module content relates to Biology Fundamentals.,7,2024-03-30T00:00:00,MOD167797,Practice 6: Biology Fundamentals,True,6,2024-03-23T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG833303"", ""ASG010713""]",CRS237240,2025-03-31T18:05:19.777372,Develop and complete a project that demonstrates mastery of key concepts. Module content relates to Project Applications.,7,2024-04-07T00:00:00,MOD437354,Biology 7: Project Applications,True,7,2024-03-31T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG744195""]",CRS237240,2025-03-31T18:05:19.777372,Conduct research on topics related to the course material. Module content relates to Biology Research - Part 8.,7,2024-04-15T00:00:00,MOD648440,Biology Research - Part 8,True,8,2024-04-08T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG924673""]",CRS237240,2025-03-31T18:05:19.777372,This hands-on module focuses on developing practical skills. Module content relates to Biology Practice - Part 9.,7,2024-04-23T00:00:00,MOD431836,Biology Practice - Part 9,True,9,2024-04-16T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG679298""]",CRS237240,2025-03-31T18:05:19.777372,Apply theoretical knowledge through practical exercises and problems. Module content relates to Biology Practice.,3,2024-04-27T00:00:00,MOD646464,Module 10: Biology Practice,True,10,2024-04-24T00:00:00,Music,2025-03-31T18:05:19.781870
"[""ASG316600"", ""ASG993606""]",CRS384403,2025-03-31T18:05:19.777372,This module covers the theoretical foundations of the subject. Module content relates to Laboratory Theory - Part 1.,7,2023-09-13T00:00:00,MOD795201,Laboratory Theory - Part 1,True,1,2023-09-06T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG628021"", ""ASG127590""]",CRS384403,2025-03-31T18:05:19.777372,Develop and complete a project that demonstrates mastery of key concepts. Module content relates to Laboratory Project - Part 2.,7,2023-09-21T00:00:00,MOD591859,Laboratory Project - Part 2,True,2,2023-09-14T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG528622"", ""ASG654871""]",CRS384403,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Practice Applications.,7,2023-09-29T00:00:00,MOD609268,Laboratory 3: Practice Applications,True,3,2023-09-22T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG531574"", ""ASG970113""]",CRS384403,2025-03-31T18:05:19.777372,Apply theoretical knowledge through practical exercises and problems. Module content relates to Laboratory Fundamentals.,9,2023-10-09T00:00:00,MOD365290,Practice 4: Laboratory Fundamentals,True,4,2023-09-30T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG582835""]",CRS384403,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Laboratory Practice.,7,2023-10-17T00:00:00,MOD973486,Module 5: Laboratory Practice,False,5,2023-10-10T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG073230""]",CRS384403,2025-03-31T18:05:19.777372,Explore the fundamental theories that underpin this subject area. Module content relates to Laboratory Fundamentals.,7,2023-10-25T00:00:00,MOD739941,Theory 6: Laboratory Fundamentals,True,6,2023-10-18T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG968591""]",CRS384403,2025-03-31T18:05:19.777372,Work on a comprehensive project to solidify understanding. Module content relates to Project Applications.,7,2023-11-02T00:00:00,MOD877222,Laboratory 7: Project Applications,True,7,2023-10-26T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG587896""]",CRS384403,2025-03-31T18:05:19.777372,Practice core techniques through guided exercises and activities. Module content relates to Laboratory Practice - Part 8.,7,2023-11-10T00:00:00,MOD440527,Laboratory Practice - Part 8,True,8,2023-11-03T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG074387""]",CRS384403,2025-03-31T18:05:19.777372,This hands-on module focuses on developing practical skills. Module content relates to Laboratory Practice - Part 9.,7,2023-11-18T00:00:00,MOD322102,Laboratory Practice - Part 9,True,9,2023-11-11T00:00:00,History,2025-03-31T18:05:19.781870
"[""ASG478651"", ""ASG477122""]",CRS384403,2025-03-31T18:05:19.777372,Develop and complete a project that demonstrates mastery of key concepts. Module content relates to Project in Laboratory.,8,2023-11-27T00:00:00,MOD349587,Unit 10: Project in Laboratory,True,10,2023-11-19T00:00:00,History,2025-03-31T18:05:19.781870
